i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2011/12,YUNSA,8.36,10.3,6.67,24.9,67.39,3.44,2.89,7.53,1.11,0.001943833,0.1943833
2012/12,ADEL,20.09,24.78,15.3,24.91,20.69,1.46,1.29,13.2,4.93,0.001238217,0.1238217
2012/12,AFYON,-14.04,-19.28,-17.54,-16.99,19.09,4.03,5.8,8.37,3.07,0.000446309,0.0446309
2012/12,AKCNS,9,14.94,11.37,13.53,33.51,4.06,7.68,5.51,1.11,0.013048686,1.3048686
2012/12,AKSA,10.5,8.91,10.37,18.7,37.64,4.73,6.99,5.6,1.61,0.01463106,1.463106
2012/12,ALCAR,7.69,5.32,7.31,9.47,18.16,3,4.48,10.97,5.91,0.003245267,0.3245267
2012/12,ARCLK,5.35,7.23,4.92,14.07,61.6,3,4.55,6.11,1.71,0.096116214,9.6116214
2012/12,ARSAN,3.02,-0.75,6.16,6.3,48.57,4.7,2.8,5.82,0.65,0.001981176,0.1981176
2012/12,ASUZU,0.34,0.85,0.25,0.78,61,4.53,2.79,5.74,1.82,0.004001511,0.4001511
2012/12,ATEKS,2.39,-13.69,5.02,3.09,22.48,4.75,3.67,3.82,1.64,0.002391329,0.2391329
2012/12,AYGAZ,10.76,2.99,5.46,13.45,19.47,16.16,24.19,19.51,1.56,0.027780581,2.7780581
2012/12,BAGFS,7.06,7.09,6.57,10.2,29.42,6.79,3.92,4.53,2.72,0.003079961,0.3079961
2012/12,BAKAB,5.9,7.75,5.31,10.64,45.53,3.89,6.22,3.72,1.44,0.00172567,0.172567
2012/12,BANVT,1.27,1.92,0.77,6.34,81.32,7.79,7.71,9.98,1.05,0.007734546,0.7734546
2012/12,BFREN,37.72,10.3,43.27,149.01,49.31,3.32,13.75,2.08,1.73,0.000615225,0.0615225
2012/12,BOSSA,4.14,0.17,6.12,5.93,29.8,3.88,3.72,7.59,2.15,0.005518419,0.5518419
2012/12,BRISA,8.26,9.95,6.69,19.82,60.59,3.84,3.74,7.14,1.01,0.011691382,1.1691382
2012/12,BRSAN,2.7,3.61,2.77,6.19,57.51,8.09,4.87,2.97,0.9,0.013688659,1.3688659
2012/12,BTCIM,2.57,2.55,4.61,4.36,34.69,5.02,5.32,5.8,1.76,0.006571655,0.6571655
2012/12,BUCIM,3.03,0.22,2.93,5.28,30.26,3.66,5.06,11.26,3.43,0.004233058,0.4233058
2012/12,BURCE,-2.21,-4.4,-2.85,-4.72,52.94,6.55,2.69,5.06,1.37,0.000389196,0.0389196
2012/12,CELHA,0.47,2.15,0.32,1.31,58.86,4.12,7.26,6.71,1.06,0.000686642,0.0686642
2012/12,CEMTS,5.03,-0.82,4.69,5.92,12.22,5.79,4.42,23.43,4.8,0.001683471,0.1683471
2012/12,CIMSA,8.18,19.23,13.46,12.5,34.16,4.46,5.8,7.32,0.9,0.014749621,1.4749621
2012/12,CMBTN,-0.33,-1.03,-0.18,-0.59,47.18,4.4,102.44,4.97,1.29,0.000636937,0.0636937
2012/12,CMENT,1.03,3.63,2.13,1.69,27.29,4.26,5.34,5.79,1.12,0.011952382,1.1952382
2012/12,DEVA,4.93,14.08,8.16,9.47,47.65,2.39,2.22,8.38,1.3,0.006796599,0.6796599
2012/12,DITAS,-6.41,-1.23,-4.14,-10.73,43.22,4.27,5.86,8.43,1.87,0.000316236,0.0316236
2012/12,DMSAS,-3.79,-1.9,-3.36,-6.73,45.05,3.75,4.83,11.38,1.4,0.00114849,0.114849
2012/12,ECILC,1.08,0.96,3.88,1.26,13.54,3.65,4.47,3.45,3.11,0.03158125,3.158125
2012/12,EGEEN,14.12,13.75,12.26,27.09,37.97,3.78,4,6.66,2.12,0.00113209,0.113209
2012/12,EGGUB,5.35,7.78,5.99,10.65,44.25,20.92,7.36,4.34,0.39,0.002043115,0.2043115
2012/12,EGPRO,6.55,10.82,6.78,14.29,52.85,1.74,6.14,5.8,1.67,0.003121808,0.3121808
2012/12,ERBOS,10.26,6.15,8.68,17.21,34.67,3.95,3.71,3.95,2.71,0.001421273,0.1421273
2012/12,EREGL,3.41,7.79,4.72,6.33,43.57,9.56,2.68,17.76,2.08,0.123492833,12.3492833
2012/12,FMIZP,18.28,17.26,14.62,19.62,8.45,9.44,20.45,22.71,9.7,0.000264495,0.0264495
2012/12,FRIGO,-3.66,-2.66,-4.8,-10.92,63.04,10.96,2.68,3.1,0.73,0.000337265,0.0337265
2012/12,FROTO,15.1,6.38,7.01,35.18,57.06,8.51,11,7.35,1.49,0.043669988,4.3669988
2012/12,GENTS,6.71,5.72,7.25,8.7,13.62,3.98,3.38,10.2,4.65,0.001695836,0.1695836
2012/12,GOLTS,3.91,10.6,6.23,6.91,35.32,5.94,6.67,6.6,1.79,0.004445124,0.4445124
2012/12,GOODY,8.46,6.18,4.59,14.85,36.31,5.27,6.8,7.81,2.22,0.005451876,0.5451876
2012/12,GUBRF,7.41,21.63,8.52,31.49,61.34,4.34,4.52,2.47,1.08,0.020250027,2.0250027
2012/12,HEKTS,14.37,19.25,16.99,20.38,20.58,1.82,2.11,6.16,4.57,0.001206263,0.1206263
2012/12,IHEVA,6.96,-1.56,20.23,10.73,28.3,1.73,2.4,2.37,2.67,0.002858848,0.2858848
2012/12,KAPLM,1.77,2.8,1.18,4.08,56.6,5.14,9.96,5.17,0.93,0.00058971,0.058971
2012/12,KARTN,11.27,12.82,13.06,12.75,11.89,7.29,3.26,9.32,6.54,0.002359871,0.2359871
2012/12,KENT,2.95,-0.26,2.89,4.91,37.19,2.78,6.37,4.88,1.38,0.005255523,0.5255523
2012/12,KLMSN,2.77,3.03,3.34,11.33,77.09,3.8,6.02,6.76,1.63,0.002008678,0.2008678
2012/12,KNFRT,7.76,10.56,7.59,16.07,47.91,6.54,1.8,5.54,2.16,0.000679435,0.0679435
2012/12,KONYA,8.69,13.94,15.86,10.07,13.56,4.63,3.86,6.06,5.68,0.003858228,0.3858228
2012/12,KORDS,2.5,3.49,2.74,4.65,37.57,6.74,3.18,11.67,1.67,0.014905688,1.4905688
2012/12,KRSTL,-2.11,-10.66,-6.59,-2.26,6.06,0.72,6.26,7.02,10.56,0.000630395,0.0630395
2012/12,KRTEK,-5.5,-4.1,-6.43,-11.7,54.69,2.66,5.69,9.12,1.74,0.001277412,0.1277412
2012/12,KUTPO,4.29,2.63,4,5.8,26.28,2.61,2.5,7.47,3.05,0.001692882,0.1692882
2012/12,MRSHL,-1.66,1.16,-1.12,-2.76,41.05,2.93,4.45,4.28,1.62,0.001764721,0.1764721
2012/12,OTKAR,8.27,9.36,7.79,34.4,76.7,4.35,3.04,9.55,1.28,0.009748913,0.9748913
2012/12,OYAKC,12.09,20.05,18.55,15.34,25.76,3.8,3.71,13.75,1.8,0.002845941,0.2845941
2012/12,PARSN,2.96,6.25,6.22,4.1,20.3,4.84,3.63,9.96,2.23,0.003189093,0.3189093
2012/12,PENGD,1.16,2.26,2.5,2.34,53.17,4.76,1.53,2.3,0.93,0.001850985,0.1850985
2012/12,PETKM,0.9,-1.13,0.57,1.46,40.55,6.78,9.16,7.07,1.41,0.026306169,2.6306169
2012/12,PINSU,0.35,-1.85,0.39,0.51,34.39,5.96,10.28,2.7,1,0.001119366,0.1119366
2012/12,PNSUT,9.24,7.29,7.9,13.12,29.29,6.81,8.39,5.27,1.64,0.005796749,0.5796749
2012/12,PRKAB,1.89,2.01,1.14,5.88,68.56,4.2,8.11,2.8,1.35,0.003984548,0.3984548
2012/12,SARKY,3.67,1.16,1.41,10.98,67.07,5.25,19.56,15.29,1.14,0.009107062,0.9107062
2012/12,SASA,-4.55,-0.84,-2.97,-11.46,64.36,5.78,4.08,6.54,1.06,0.006424607,0.6424607
2012/12,SELGD,7.36,-21.46,16.74,10.42,28.18,3.52,1.69,5.83,2.73,0.000126176,0.0126176
2012/12,SISE,3.6,7.96,5.74,6.91,35.72,5.26,3.64,8.37,1.81,0.081958873,8.1958873
2012/12,SKTAS,-9.67,-14.35,-21.74,-24.66,59.6,6.83,2.81,3.68,0.7,0.00422507,0.422507
2012/12,SNPAM,3.74,6.36,13.1,4.02,8.49,2.36,4.48,5.23,5.42,0.000783037,0.0783037
2012/12,TATGD,0.45,4.62,0.36,1.37,61.15,3.36,3.9,8.6,1.66,0.005610019,0.5610019
2012/12,TBORG,13.69,11.64,12.69,33.1,55.33,2.47,4.88,5.49,1.06,0.003150837,0.3150837
